accident_year,speed_limit,road_surface_conditions,weather_conditions,urban_or_rural_area,accident_severity,accident_count
2015,70,Dry,Fine without high winds,Rural,Fatal,2
2015,70,Dry,Fine without high winds,Urban,Fatal,2
2016,70,Dry,Fine without high winds,Rural,Fatal,3
2016,70,Dry,Fine without high winds,Urban,Fatal,3
2017,70,Dry,Fine without high winds,Rural,Fatal,3
2017,70,Dry,Fine without high winds,Urban,Fatal,3
2018,70,Dry,Fine without high winds,Rural,Fatal,2
2018,70,Dry,Fine without high winds,Urban,Fatal,2
2019,70,Dry,Fine without high winds,Rural,Fatal,5
2019,70,Dry,Fine without high winds,Urban,Fatal,5
2020,70,Dry,Fine without high winds,Rural,Fatal,1
2020,70,Dry,Fine without high winds,Urban,Fatal,1
2021,70,Dry,Fine without high winds,Rural,Fatal,1
2021,70,Dry,Fine without high winds,Urban,Fatal,1
2022,70,Dry,Fine without high winds,Rural,Fatal,4
2022,70,Dry,Fine without high winds,Urban,Fatal,4
2023,70,Dry,Fine without high winds,Rural,Fatal,8
2023,70,Dry,Fine without high winds,Urban,Fatal,8
2016,30,Dry,Fog or mist - if hazard,Urban,Fatal,1
2019,30,Dry,Fog or mist - if hazard,Urban,Fatal,2
2023,20,Dry,Other,Rural,Fatal,1
2023,20,Dry,Other,Urban,Fatal,1
2015,30,Dry,Other,Rural,Fatal,1
2015,30,Dry,Other,Urban,Fatal,1
2017,30,Dry,Other,Rural,Fatal,3
2017,30,Dry,Other,Urban,Fatal,4
2019,30,Dry,Other,Rural,Fatal,2
2019,30,Dry,Other,Urban,Fatal,2
2021,30,Dry,Other,Urban,Fatal,1
2022,30,Dry,Other,Rural,Fatal,1
2022,30,Dry,Other,Urban,Fatal,1
2020,20,Dry,Raining with high winds,Urban,Fatal,3
2020,40,Dry,Raining without high winds,Rural,Fatal,1
2020,40,Dry,Raining without high winds,Urban,Fatal,1
2019,20,Dry,Unknown,Urban,Fatal,1
2020,20,Dry,Unknown,Rural,Fatal,1
2020,20,Dry,Unknown,Urban,Fatal,2
2015,30,Dry,Unknown,Rural,Fatal,7
2015,30,Dry,Unknown,Urban,Fatal,10
2016,30,Dry,Unknown,Rural,Fatal,5
2016,30,Dry,Unknown,Urban,Fatal,5
2017,30,Dry,Unknown,Rural,Fatal,1
2017,30,Dry,Unknown,Urban,Fatal,1
2019,30,Dry,Unknown,Rural,Fatal,2
2019,30,Dry,Unknown,Urban,Fatal,4
2020,30,Dry,Unknown,Rural,Fatal,1
2020,30,Dry,Unknown,Urban,Fatal,1
2021,30,Dry,Unknown,Rural,Fatal,1
2021,30,Dry,Unknown,Urban,Fatal,1
2015,40,Dry,Unknown,Rural,Fatal,2
2015,40,Dry,Unknown,Urban,Fatal,2
2019,40,Dry,Unknown,Urban,Fatal,1
2020,20,Frost/Ice,Fine without high winds,Urban,Fatal,1
2015,30,Frost/Ice,Fine without high winds,Rural,Fatal,2
2015,30,Frost/Ice,Fine without high winds,Urban,Fatal,2
2016,30,Frost/Ice,Fine without high winds,Rural,Fatal,1
2016,30,Frost/Ice,Fine without high winds,Urban,Fatal,1
2017,30,Frost/Ice,Fine without high winds,Rural,Fatal,3
2017,30,Frost/Ice,Fine without high winds,Urban,Fatal,3
2023,20,Frost/Ice,Other,Rural,Fatal,1
2023,20,Frost/Ice,Other,Urban,Fatal,1
2015,30,Frost/Ice,Other,Rural,Fatal,1
2015,30,Frost/Ice,Other,Urban,Fatal,1
2017,30,Frost/Ice,Unknown,Rural,Fatal,1
2017,30,Frost/Ice,Unknown,Urban,Fatal,1
2022,20,Unknown,Unknown,Rural,Fatal,1
2022,20,Unknown,Unknown,Urban,Fatal,2
2017,30,Unknown,Unknown,Rural,Fatal,1
2017,30,Unknown,Unknown,Urban,Fatal,1
2022,30,Wet/Damp,Fine with high winds,Rural,Fatal,2
2022,30,Wet/Damp,Fine with high winds,Urban,Fatal,2
2019,20,Wet/Damp,Fine without high winds,Rural,Fatal,3
2019,20,Wet/Damp,Fine without high winds,Urban,Fatal,5
2020,20,Wet/Damp,Fine without high winds,Rural,Fatal,1
2020,20,Wet/Damp,Fine without high winds,Urban,Fatal,1
2021,20,Wet/Damp,Fine without high winds,Rural,Fatal,3
2021,20,Wet/Damp,Fine without high winds,Urban,Fatal,4
2022,20,Wet/Damp,Fine without high winds,Rural,Fatal,2
2022,20,Wet/Damp,Fine without high winds,Urban,Fatal,2
2023,20,Wet/Damp,Fine without high winds,Rural,Fatal,1
2023,20,Wet/Damp,Fine without high winds,Urban,Fatal,1
2014,30,Wet/Damp,Fine without high winds,Rural,Fatal,7
2014,30,Wet/Damp,Fine without high winds,Urban,Fatal,11
2015,30,Wet/Damp,Fine without high winds,Rural,Fatal,8
2015,30,Wet/Damp,Fine without high winds,Urban,Fatal,8
2016,30,Wet/Damp,Fine without high winds,Rural,Fatal,17
2016,30,Wet/Damp,Fine without high winds,Urban,Fatal,17
2017,30,Wet/Damp,Fine without high winds,Rural,Fatal,11
2017,30,Wet/Damp,Fine without high winds,Urban,Fatal,11
2018,30,Wet/Damp,Fine without high winds,Rural,Fatal,2
2018,30,Wet/Damp,Fine without high winds,Urban,Fatal,5
2019,30,Wet/Damp,Fine without high winds,Rural,Fatal,2
2019,30,Wet/Damp,Fine without high winds,Urban,Fatal,2
2020,30,Wet/Damp,Fine without high winds,Rural,Fatal,4
2020,30,Wet/Damp,Fine without high winds,Urban,Fatal,4
2021,30,Wet/Damp,Fine without high winds,Rural,Fatal,2
2021,30,Wet/Damp,Fine without high winds,Urban,Fatal,2
2022,30,Wet/Damp,Fine without high winds,Rural,Fatal,1
2022,30,Wet/Damp,Fine without high winds,Urban,Fatal,2
2023,30,Wet/Damp,Fine without high winds,Rural,Fatal,6
2023,30,Wet/Damp,Fine without high winds,Urban,Fatal,6
2014,40,Wet/Damp,Fine without high winds,Rural,Fatal,2
2014,40,Wet/Damp,Fine without high winds,Urban,Fatal,2
2016,40,Wet/Damp,Fine without high winds,Urban,Fatal,1
2017,40,Wet/Damp,Fine without high winds,Rural,Fatal,1
2017,40,Wet/Damp,Fine without high winds,Urban,Fatal,1
2020,40,Wet/Damp,Fine without high winds,Rural,Fatal,1
2020,40,Wet/Damp,Fine without high winds,Urban,Fatal,1
2023,40,Wet/Damp,Fine without high winds,Rural,Fatal,1
2023,40,Wet/Damp,Fine without high winds,Urban,Fatal,2
2015,50,Wet/Damp,Fine without high winds,Rural,Fatal,2
2015,50,Wet/Damp,Fine without high winds,Urban,Fatal,2
2016,50,Wet/Damp,Fine without high winds,Rural,Fatal,1
2016,50,Wet/Damp,Fine without high winds,Urban,Fatal,1
2020,50,Wet/Damp,Fine without high winds,Rural,Fatal,1
2020,50,Wet/Damp,Fine without high winds,Urban,Fatal,1
2022,50,Wet/Damp,Fine without high winds,Rural,Fatal,2
2022,50,Wet/Damp,Fine without high winds,Urban,Fatal,2
2023,50,Wet/Damp,Fine without high winds,Rural,Fatal,1
2023,50,Wet/Damp,Fine without high winds,Urban,Fatal,1
2019,30,Wet/Damp,Fog or mist - if hazard,Rural,Fatal,1
2019,30,Wet/Damp,Fog or mist - if hazard,Urban,Fatal,1
2020,50,Wet/Damp,Fog or mist - if hazard,Rural,Fatal,1
2020,50,Wet/Damp,Fog or mist - if hazard,Urban,Fatal,1
2022,50,Wet/Damp,Fog or mist - if hazard,Rural,Fatal,1
2022,50,Wet/Damp,Fog or mist - if hazard,Urban,Fatal,1
2021,20,Wet/Damp,Other,Rural,Fatal,1
2021,20,Wet/Damp,Other,Urban,Fatal,1
2022,20,Wet/Damp,Other,Urban,Fatal,1
2016,30,Wet/Damp,Other,Rural,Fatal,3
2016,30,Wet/Damp,Other,Urban,Fatal,4
2017,30,Wet/Damp,Other,Rural,Fatal,1
2017,30,Wet/Damp,Other,Urban,Fatal,1
2018,30,Wet/Damp,Other,Rural,Fatal,1
2018,30,Wet/Damp,Other,Urban,Fatal,1
2014,40,Wet/Damp,Other,Urban,Fatal,1
2015,40,Wet/Damp,Other,Rural,Fatal,2
2015,40,Wet/Damp,Other,Urban,Fatal,2
2023,20,Wet/Damp,Raining with high winds,Rural,Fatal,1
2023,20,Wet/Damp,Raining with high winds,Urban,Fatal,1
2014,30,Wet/Damp,Raining with high winds,Rural,Fatal,2
2014,30,Wet/Damp,Raining with high winds,Urban,Fatal,2
2019,30,Wet/Damp,Raining with high winds,Rural,Fatal,2
2019,30,Wet/Damp,Raining with high winds,Urban,Fatal,2
2015,70,Wet/Damp,Raining with high winds,Rural,Fatal,1
2015,70,Wet/Damp,Raining with high winds,Urban,Fatal,1
2017,20,Wet/Damp,Raining without high winds,Rural,Fatal,1
2017,20,Wet/Damp,Raining without high winds,Urban,Fatal,1
2018,20,Wet/Damp,Raining without high winds,Rural,Fatal,2
2018,20,Wet/Damp,Raining without high winds,Urban,Fatal,2
2019,20,Wet/Damp,Raining without high winds,Rural,Fatal,2
2019,20,Wet/Damp,Raining without high winds,Urban,Fatal,3
2022,20,Wet/Damp,Raining without high winds,Rural,Fatal,2
2022,20,Wet/Damp,Raining without high winds,Urban,Fatal,2
2023,20,Wet/Damp,Raining without high winds,Rural,Fatal,3
