accident_year,speed_limit,road_surface_conditions,weather_conditions,urban_or_rural_area,accident_severity,accident_count
2022,20,Dry,Fog or mist - if hazard,Urban,Serious,1
2016,30,Dry,Fog or mist - if hazard,Rural,Serious,2
2016,30,Dry,Fog or mist - if hazard,Urban,Serious,2
2019,30,Dry,Fog or mist - if hazard,Rural,Serious,3
2019,30,Dry,Fog or mist - if hazard,Urban,Serious,3
2020,30,Dry,Fog or mist - if hazard,Rural,Serious,3
2020,30,Dry,Fog or mist - if hazard,Urban,Serious,3
2021,30,Dry,Fog or mist - if hazard,Rural,Serious,1
2021,30,Dry,Fog or mist - if hazard,Urban,Serious,1
2020,50,Dry,Fog or mist - if hazard,Rural,Serious,1
2020,50,Dry,Fog or mist - if hazard,Urban,Serious,1
2016,20,Dry,Other,Rural,Serious,1
2016,20,Dry,Other,Urban,Serious,2
2017,20,Dry,Other,Rural,Serious,1
2017,20,Dry,Other,Urban,Serious,2
2018,20,Dry,Other,Rural,Serious,7
2018,20,Dry,Other,Urban,Serious,13
2019,20,Dry,Other,Rural,Serious,20
2019,20,Dry,Other,Urban,Serious,23
2020,20,Dry,Other,Rural,Serious,17
2020,20,Dry,Other,Urban,Serious,20
2021,20,Dry,Other,Rural,Serious,33
2021,20,Dry,Other,Urban,Serious,41
2022,20,Dry,Other,Rural,Serious,30
2022,20,Dry,Other,Urban,Serious,40
2023,20,Dry,Other,Rural,Serious,32
2023,20,Dry,Other,Urban,Serious,37
2014,30,Dry,Other,Rural,Serious,2
2014,30,Dry,Other,Urban,Serious,7
2015,30,Dry,Other,Rural,Serious,3
2015,30,Dry,Other,Urban,Serious,5
2016,30,Dry,Other,Rural,Serious,9
2016,30,Dry,Other,Urban,Serious,11
2017,30,Dry,Other,Rural,Serious,26
2017,30,Dry,Other,Urban,Serious,36
2018,30,Dry,Other,Rural,Serious,28
2018,30,Dry,Other,Urban,Serious,35
2019,30,Dry,Other,Rural,Serious,32
2019,30,Dry,Other,Urban,Serious,35
2020,30,Dry,Other,Rural,Serious,28
2020,30,Dry,Other,Urban,Serious,30
2021,30,Dry,Other,Rural,Serious,22
2021,30,Dry,Other,Urban,Serious,24
2022,30,Dry,Other,Rural,Serious,43
2022,30,Dry,Other,Urban,Serious,44
2023,30,Dry,Other,Rural,Serious,30
2023,30,Dry,Other,Urban,Serious,33
2015,40,Dry,Other,Urban,Serious,1
2019,40,Dry,Other,Rural,Serious,1
2019,40,Dry,Other,Urban,Serious,1
2020,40,Dry,Other,Rural,Serious,7
2020,40,Dry,Other,Urban,Serious,7
2021,40,Dry,Other,Rural,Serious,5
2021,40,Dry,Other,Urban,Serious,5
2022,40,Dry,Other,Rural,Serious,2
2022,40,Dry,Other,Urban,Serious,2
2023,40,Dry,Other,Rural,Serious,2
2023,40,Dry,Other,Urban,Serious,2
2017,50,Dry,Other,Rural,Serious,1
2017,50,Dry,Other,Urban,Serious,1
2018,50,Dry,Other,Rural,Serious,1
2018,50,Dry,Other,Urban,Serious,1
2019,50,Dry,Other,Rural,Serious,1
2019,50,Dry,Other,Urban,Serious,1
2022,50,Dry,Other,Rural,Serious,1
2022,50,Dry,Other,Urban,Serious,1
2023,50,Dry,Other,Rural,Serious,1
2023,50,Dry,Other,Urban,Serious,1
2023,20,Dry,Raining with high winds,Rural,Serious,1
2023,20,Dry,Raining with high winds,Urban,Serious,1
2020,-1,Dry,Raining without high winds,Rural,Serious,1
2020,-1,Dry,Raining without high winds,Urban,Serious,1
2018,20,Dry,Raining without high winds,Rural,Serious,5
2018,20,Dry,Raining without high winds,Urban,Serious,6
2019,20,Dry,Raining without high winds,Rural,Serious,3
2019,20,Dry,Raining without high winds,Urban,Serious,4
2021,20,Dry,Raining without high winds,Rural,Serious,7
2021,20,Dry,Raining without high winds,Urban,Serious,8
2022,20,Dry,Raining without high winds,Rural,Serious,6
2022,20,Dry,Raining without high winds,Urban,Serious,9
2023,20,Dry,Raining without high winds,Rural,Serious,6
2023,20,Dry,Raining without high winds,Urban,Serious,9
2017,30,Dry,Raining without high winds,Rural,Serious,6
2017,30,Dry,Raining without high winds,Urban,Serious,6
2018,30,Dry,Raining without high winds,Rural,Serious,11
2018,30,Dry,Raining without high winds,Urban,Serious,13
2019,30,Dry,Raining without high winds,Rural,Serious,7
2019,30,Dry,Raining without high winds,Urban,Serious,8
2020,30,Dry,Raining without high winds,Rural,Serious,9
2020,30,Dry,Raining without high winds,Urban,Serious,10
2021,30,Dry,Raining without high winds,Rural,Serious,4
2021,30,Dry,Raining without high winds,Urban,Serious,8
2022,30,Dry,Raining without high winds,Rural,Serious,11
2022,30,Dry,Raining without high winds,Urban,Serious,11
2023,30,Dry,Raining without high winds,Rural,Serious,8
2023,30,Dry,Raining without high winds,Urban,Serious,8
2023,40,Dry,Raining without high winds,Rural,Serious,1
2023,40,Dry,Raining without high winds,Urban,Serious,1
2020,50,Dry,Raining without high winds,Rural,Serious,7
2020,50,Dry,Raining without high winds,Urban,Serious,7
2022,50,Dry,Raining without high winds,Rural,Serious,2
2022,50,Dry,Raining without high winds,Urban,Serious,2
2018,60,Dry,Raining without high winds,Rural,Serious,1
2018,60,Dry,Raining without high winds,Urban,Serious,1
2023,30,Dry,Snowing with high winds,Rural,Serious,1
2023,30,Dry,Snowing with high winds,Urban,Serious,1
2017,30,Dry,Snowing without high winds,Rural,Serious,1
2017,30,Dry,Snowing without high winds,Urban,Serious,1
2018,30,Dry,Snowing without high winds,Rural,Serious,2
2018,30,Dry,Snowing without high winds,Urban,Serious,2
2021,30,Dry,Snowing without high winds,Rural,Serious,1
2021,30,Dry,Snowing without high winds,Urban,Serious,1
2019,-1,Dry,Unknown,Rural,Serious,1
2019,-1,Dry,Unknown,Urban,Serious,1
2016,20,Dry,Unknown,Rural,Serious,2
2016,20,Dry,Unknown,Urban,Serious,3
2017,20,Dry,Unknown,Rural,Serious,9
2017,20,Dry,Unknown,Urban,Serious,9
2018,20,Dry,Unknown,Rural,Serious,2
2018,20,Dry,Unknown,Urban,Serious,5
2019,20,Dry,Unknown,Rural,Serious,8
2019,20,Dry,Unknown,Urban,Serious,9
2020,20,Dry,Unknown,Rural,Serious,5
2020,20,Dry,Unknown,Urban,Serious,6
2021,20,Dry,Unknown,Rural,Serious,12
2021,20,Dry,Unknown,Urban,Serious,14
2022,20,Dry,Unknown,Rural,Serious,14
2022,20,Dry,Unknown,Urban,Serious,18
2023,20,Dry,Unknown,Rural,Serious,22
2023,20,Dry,Unknown,Urban,Serious,24
2014,30,Dry,Unknown,Rural,Serious,19
2014,30,Dry,Unknown,Urban,Serious,36
2015,30,Dry,Unknown,Rural,Serious,17
2015,30,Dry,Unknown,Urban,Serious,28
2016,30,Dry,Unknown,Rural,Serious,40
2016,30,Dry,Unknown,Urban,Serious,50
2017,30,Dry,Unknown,Rural,Serious,33
2017,30,Dry,Unknown,Urban,Serious,40
2018,30,Dry,Unknown,Rural,Serious,19
2018,30,Dry,Unknown,Urban,Serious,22
2019,30,Dry,Unknown,Rural,Serious,11
2019,30,Dry,Unknown,Urban,Serious,18
2020,30,Dry,Unknown,Rural,Serious,14
2020,30,Dry,Unknown,Urban,Serious,16
2021,30,Dry,Unknown,Rural,Serious,24
2021,30,Dry,Unknown,Urban,Serious,27
2022,30,Dry,Unknown,Rural,Serious,20
2022,30,Dry,Unknown,Urban,Serious,23
2023,30,Dry,Unknown,Rural,Serious,19
2023,30,Dry,Unknown,Urban,Serious,26
2016,40,Dry,Unknown,Rural,Serious,6
2016,40,Dry,Unknown,Urban,Serious,6
2018,40,Dry,Unknown,Rural,Serious,1
2018,40,Dry,Unknown,Urban,Serious,1
2019,40,Dry,Unknown,Rural,Serious,1
2019,40,Dry,Unknown,Urban,Serious,1
2020,40,Dry,Unknown,Rural,Serious,4
2020,40,Dry,Unknown,Urban,Serious,4
2023,40,Dry,Unknown,Rural,Serious,1
2023,40,Dry,Unknown,Urban,Serious,1
2015,50,Dry,Unknown,Urban,Serious,1
2016,50,Dry,Unknown,Rural,Serious,3
2016,50,Dry,Unknown,Urban,Serious,3
2017,60,Dry,Unknown,Rural,Serious,1
2017,60,Dry,Unknown,Urban,Serious,1
2018,30,Flood,Fine without high winds,Rural,Serious,1
2018,30,Flood,Fine without high winds,Urban,Serious,1
2023,40,Flood,Fine without high winds,Rural,Serious,3
2023,40,Flood,Fine without high winds,Urban,Serious,3
2014,30,Flood,Raining with high winds,Rural,Serious,1
2014,30,Flood,Raining with high winds,Urban,Serious,1
2014,50,Flood,Raining with high winds,Rural,Serious,1
2014,50,Flood,Raining with high winds,Urban,Serious,1
2023,50,Flood,Raining without high winds,Rural,Serious,1
2023,50,Flood,Raining without high winds,Urban,Serious,1
2017,30,Flood,Unknown,Rural,Serious,1
2017,30,Flood,Unknown,Urban,Serious,1
2022,30,Flood,Unknown,Rural,Serious,1
2022,30,Flood,Unknown,Urban,Serious,1
2017,30,Frost/Ice,Fine with high winds,Rural,Serious,2
2017,30,Frost/Ice,Fine with high winds,Urban,Serious,2
2016,20,Frost/Ice,Fine without high winds,Rural,Serious,1
2016,20,Frost/Ice,Fine without high winds,Urban,Serious,1
2017,20,Frost/Ice,Fine without high winds,Rural,Serious,1
2017,20,Frost/Ice,Fine without high winds,Urban,Serious,1
2019,20,Frost/Ice,Fine without high winds,Rural,Serious,2
2019,20,Frost/Ice,Fine without high winds,Urban,Serious,3
2020,20,Frost/Ice,Fine without high winds,Rural,Serious,2
2020,20,Frost/Ice,Fine without high winds,Urban,Serious,3
2021,20,Frost/Ice,Fine without high winds,Rural,Serious,1
2021,20,Frost/Ice,Fine without high winds,Urban,Serious,1
2022,20,Frost/Ice,Fine without high winds,Rural,Serious,7
2022,20,Frost/Ice,Fine without high winds,Urban,Serious,9
2023,20,Frost/Ice,Fine without high winds,Rural,Serious,4
2023,20,Frost/Ice,Fine without high winds,Urban,Serious,4
2014,30,Frost/Ice,Fine without high winds,Rural,Serious,3
2014,30,Frost/Ice,Fine without high winds,Urban,Serious,4
2015,30,Frost/Ice,Fine without high winds,Rural,Serious,2
2015,30,Frost/Ice,Fine without high winds,Urban,Serious,2
2016,30,Frost/Ice,Fine without high winds,Rural,Serious,4
2016,30,Frost/Ice,Fine without high winds,Urban,Serious,4
2017,30,Frost/Ice,Fine without high winds,Rural,Serious,8
2017,30,Frost/Ice,Fine without high winds,Urban,Serious,14
2018,30,Frost/Ice,Fine without high winds,Rural,Serious,2
2018,30,Frost/Ice,Fine without high winds,Urban,Serious,3
2019,30,Frost/Ice,Fine without high winds,Rural,Serious,6
2019,30,Frost/Ice,Fine without high winds,Urban,Serious,7
2020,30,Frost/Ice,Fine without high winds,Urban,Serious,2
2021,30,Frost/Ice,Fine without high winds,Rural,Serious,3
2021,30,Frost/Ice,Fine without high winds,Urban,Serious,3
2022,30,Frost/Ice,Fine without high winds,Rural,Serious,9
2022,30,Frost/Ice,Fine without high winds,Urban,Serious,10
2023,30,Frost/Ice,Fine without high winds,Rural,Serious,8
2023,30,Frost/Ice,Fine without high winds,Urban,Serious,9
2017,40,Frost/Ice,Fine without high winds,Rural,Serious,1
2017,40,Frost/Ice,Fine without high winds,Urban,Serious,1
2021,40,Frost/Ice,Fine without high winds,Urban,Serious,2
2017,50,Frost/Ice,Fine without high winds,Rural,Serious,1
2017,50,Frost/Ice,Fine without high winds,Urban,Serious,1
2018,50,Frost/Ice,Fine without high winds,Rural,Serious,1
2018,50,Frost/Ice,Fine without high winds,Urban,Serious,1
2022,50,Frost/Ice,Fine without high winds,Rural,Serious,2
2022,50,Frost/Ice,Fine without high winds,Urban,Serious,2
2019,20,Frost/Ice,Fog or mist - if hazard,Rural,Serious,1
2019,20,Frost/Ice,Fog or mist - if hazard,Urban,Serious,1
2022,20,Frost/Ice,Fog or mist - if hazard,Rural,Serious,2
2022,20,Frost/Ice,Fog or mist - if hazard,Urban,Serious,2
2023,20,Frost/Ice,Fog or mist - if hazard,Urban,Serious,1
2016,30,Frost/Ice,Fog or mist - if hazard,Rural,Serious,1
2016,30,Frost/Ice,Fog or mist - if hazard,Urban,Serious,1
2017,30,Frost/Ice,Fog or mist - if hazard,Urban,Serious,1
2021,30,Frost/Ice,Fog or mist - if hazard,Rural,Serious,1
2021,30,Frost/Ice,Fog or mist - if hazard,Urban,Serious,1
2022,30,Frost/Ice,Fog or mist - if hazard,Rural,Serious,2
2022,30,Frost/Ice,Fog or mist - if hazard,Urban,Serious,2
2017,20,Frost/Ice,Other,Urban,Serious,1
2018,20,Frost/Ice,Other,Urban,Serious,2
2021,20,Frost/Ice,Other,Rural,Serious,1
2021,20,Frost/Ice,Other,Urban,Serious,1
2022,20,Frost/Ice,Other,Rural,Serious,5
2022,20,Frost/Ice,Other,Urban,Serious,5
2023,20,Frost/Ice,Other,Rural,Serious,1
2023,20,Frost/Ice,Other,Urban,Serious,1
2014,30,Frost/Ice,Other,Rural,Serious,1
2014,30,Frost/Ice,Other,Urban,Serious,1
2016,30,Frost/Ice,Other,Rural,Serious,3
2016,30,Frost/Ice,Other,Urban,Serious,3
2017,30,Frost/Ice,Other,Rural,Serious,5
2017,30,Frost/Ice,Other,Urban,Serious,5
2018,30,Frost/Ice,Other,Rural,Serious,5
2018,30,Frost/Ice,Other,Urban,Serious,5
2021,30,Frost/Ice,Other,Urban,Serious,3
2022,30,Frost/Ice,Other,Rural,Serious,3
2022,30,Frost/Ice,Other,Urban,Serious,3
2023,30,Frost/Ice,Other,Rural,Serious,1
2023,30,Frost/Ice,Other,Urban,Serious,1
2019,40,Frost/Ice,Other,Rural,Serious,1
2019,40,Frost/Ice,Other,Urban,Serious,1
2017,50,Frost/Ice,Other,Rural,Serious,3
2017,50,Frost/Ice,Other,Urban,Serious,3
2020,30,Frost/Ice,Raining without high winds,Urban,Serious,1
2015,30,Frost/Ice,Snowing with high winds,Urban,Serious,1
2019,30,Frost/Ice,Snowing without high winds,Rural,Serious,1
2019,30,Frost/Ice,Snowing without high winds,Urban,Serious,1
2018,20,Frost/Ice,Unknown,Rural,Serious,1
2018,20,Frost/Ice,Unknown,Urban,Serious,1
2022,20,Frost/Ice,Unknown,Rural,Serious,1
2022,20,Frost/Ice,Unknown,Urban,Serious,1
2018,30,Frost/Ice,Unknown,Rural,Serious,1
2018,30,Frost/Ice,Unknown,Urban,Serious,1
2022,30,Frost/Ice,Unknown,Rural,Serious,1
2022,30,Frost/Ice,Unknown,Urban,Serious,1
2018,40,Frost/Ice,Unknown,Rural,Serious,1
2018,40,Frost/Ice,Unknown,Urban,Serious,1
2022,20,Snow,Fine without high winds,Rural,Serious,2
2022,20,Snow,Fine without high winds,Urban,Serious,2
2014,30,Snow,Fine without high winds,Rural,Serious,1
2014,30,Snow,Fine without high winds,Urban,Serious,1
2018,30,Snow,Fine without high winds,Urban,Serious,2
2022,30,Snow,Fine without high winds,Rural,Serious,2
2022,30,Snow,Fine without high winds,Urban,Serious,4
2023,30,Snow,Fine without high winds,Urban,Serious,1
2021,20,Snow,Other,Rural,Serious,1
2021,20,Snow,Other,Urban,Serious,1
2018,30,Snow,Other,Rural,Serious,1
2018,30,Snow,Other,Urban,Serious,1
2022,40,Snow,Other,Rural,Serious,4
2022,40,Snow,Other,Urban,Serious,4
2021,20,Snow,Raining without high winds,Rural,Serious,1
2021,20,Snow,Raining without high winds,Urban,Serious,1
2017,30,Snow,Raining without high winds,Rural,Serious,2
2017,30,Snow,Raining without high winds,Urban,Serious,2
2022,30,Snow,Raining without high winds,Rural,Serious,2
2022,30,Snow,Raining without high winds,Urban,Serious,2
2019,20,Snow,Snowing with high winds,Urban,Serious,1
2018,70,Snow,Snowing with high winds,Rural,Serious,2
2018,70,Snow,Snowing with high winds,Urban,Serious,2
2018,20,Snow,Snowing without high winds,Urban,Serious,1
2022,20,Snow,Snowing without high winds,Rural,Serious,5
2022,20,Snow,Snowing without high winds,Urban,Serious,7
2017,30,Snow,Snowing without high winds,Rural,Serious,2
2017,30,Snow,Snowing without high winds,Urban,Serious,2
2018,30,Snow,Snowing without high winds,Rural,Serious,6
2018,30,Snow,Snowing without high winds,Urban,Serious,6
2019,30,Snow,Snowing without high winds,Rural,Serious,1
2019,30,Snow,Snowing without high winds,Urban,Serious,2
2021,30,Snow,Snowing without high winds,Rural,Serious,1
2021,30,Snow,Snowing without high winds,Urban,Serious,1
2022,30,Snow,Snowing without high winds,Rural,Serious,2
2022,30,Snow,Snowing without high winds,Urban,Serious,2
2019,70,Snow,Snowing without high winds,Rural,Serious,1
2019,70,Snow,Snowing without high winds,Urban,Serious,1
2018,20,Snow,Unknown,Urban,Serious,1
2017,20,Unknown,Fine without high winds,Rural,Serious,2
2017,20,Unknown,Fine without high winds,Urban,Serious,5
2018,20,Unknown,Fine without high winds,Rural,Serious,2
2018,20,Unknown,Fine without high winds,Urban,Serious,3
2019,20,Unknown,Fine without high winds,Rural,Serious,5
2019,20,Unknown,Fine without high winds,Urban,Serious,5
2020,20,Unknown,Fine without high winds,Rural,Serious,3
2020,20,Unknown,Fine without high winds,Urban,Serious,3
2021,20,Unknown,Fine without high winds,Rural,Serious,6
2021,20,Unknown,Fine without high winds,Urban,Serious,7
2022,20,Unknown,Fine without high winds,Rural,Serious,5
2022,20,Unknown,Fine without high winds,Urban,Serious,6
2023,20,Unknown,Fine without high winds,Rural,Serious,3
2023,20,Unknown,Fine without high winds,Urban,Serious,4
2017,30,Unknown,Fine without high winds,Rural,Serious,5
2017,30,Unknown,Fine without high winds,Urban,Serious,8
2018,30,Unknown,Fine without high winds,Rural,Serious,11
2018,30,Unknown,Fine without high winds,Urban,Serious,14
2019,30,Unknown,Fine without high winds,Rural,Serious,2
2019,30,Unknown,Fine without high winds,Urban,Serious,4
2020,30,Unknown,Fine without high winds,Rural,Serious,3
2020,30,Unknown,Fine without high winds,Urban,Serious,4
2021,30,Unknown,Fine without high winds,Rural,Serious,5
2021,30,Unknown,Fine without high winds,Urban,Serious,6
2022,30,Unknown,Fine without high winds,Rural,Serious,5
2022,30,Unknown,Fine without high winds,Urban,Serious,7
2023,30,Unknown,Fine without high winds,Rural,Serious,4
2023,30,Unknown,Fine without high winds,Urban,Serious,6
2017,40,Unknown,Fine without high winds,Rural,Serious,1
2017,40,Unknown,Fine without high winds,Urban,Serious,1
2023,40,Unknown,Fine without high winds,Rural,Serious,1
2023,40,Unknown,Fine without high winds,Urban,Serious,1
2020,20,Unknown,Fog or mist - if hazard,Rural,Serious,1
2020,20,Unknown,Fog or mist - if hazard,Urban,Serious,1
2018,30,Unknown,Fog or mist - if hazard,Urban,Serious,1
2017,20,Unknown,Other,Rural,Serious,2
2017,20,Unknown,Other,Urban,Serious,3
2018,20,Unknown,Other,Rural,Serious,1
2018,20,Unknown,Other,Urban,Serious,1
2019,20,Unknown,Other,Rural,Serious,1
2019,20,Unknown,Other,Urban,Serious,1
2018,30,Unknown,Other,Urban,Serious,1
2019,30,Unknown,Other,Rural,Serious,5
2019,30,Unknown,Other,Urban,Serious,5
2020,30,Unknown,Other,Rural,Serious,1
2020,30,Unknown,Other,Urban,Serious,1
2023,30,Unknown,Other,Rural,Serious,1
2023,30,Unknown,Other,Urban,Serious,1
2020,40,Unknown,Other,Rural,Serious,1
2020,40,Unknown,Other,Urban,Serious,1
2023,20,Unknown,Raining with high winds,Rural,Serious,1
2023,20,Unknown,Raining with high winds,Urban,Serious,1
2017,20,Unknown,Raining without high winds,Rural,Serious,1
2017,20,Unknown,Raining without high winds,Urban,Serious,1
2018,20,Unknown,Raining without high winds,Urban,Serious,1
2020,20,Unknown,Raining without high winds,Rural,Serious,1
2020,20,Unknown,Raining without high winds,Urban,Serious,1
2021,20,Unknown,Raining without high winds,Rural,Serious,2
2021,20,Unknown,Raining without high winds,Urban,Serious,2
2023,20,Unknown,Raining without high winds,Rural,Serious,2
2023,20,Unknown,Raining without high winds,Urban,Serious,2
2017,30,Unknown,Raining without high winds,Rural,Serious,1
2017,30,Unknown,Raining without high winds,Urban,Serious,2
2018,30,Unknown,Raining without high winds,Rural,Serious,2
2018,30,Unknown,Raining without high winds,Urban,Serious,2
2019,30,Unknown,Raining without high winds,Rural,Serious,1
2019,30,Unknown,Raining without high winds,Urban,Serious,2
2023,30,Unknown,Raining without high winds,Rural,Serious,1
2023,30,Unknown,Raining without high winds,Urban,Serious,1
2022,40,Unknown,Raining without high winds,Urban,Serious,1
2017,20,Unknown,Unknown,Rural,Serious,9
2017,20,Unknown,Unknown,Urban,Serious,14
2018,20,Unknown,Unknown,Rural,Serious,2
2018,20,Unknown,Unknown,Urban,Serious,3
2019,20,Unknown,Unknown,Rural,Serious,7
2019,20,Unknown,Unknown,Urban,Serious,9
2020,20,Unknown,Unknown,Rural,Serious,8
2020,20,Unknown,Unknown,Urban,Serious,12
2021,20,Unknown,Unknown,Rural,Serious,9
2021,20,Unknown,Unknown,Urban,Serious,13
2022,20,Unknown,Unknown,Rural,Serious,21
2022,20,Unknown,Unknown,Urban,Serious,28
2023,20,Unknown,Unknown,Rural,Serious,21
2023,20,Unknown,Unknown,Urban,Serious,25
2017,30,Unknown,Unknown,Rural,Serious,35
2017,30,Unknown,Unknown,Urban,Serious,46
2018,30,Unknown,Unknown,Rural,Serious,41
2018,30,Unknown,Unknown,Urban,Serious,46
2019,30,Unknown,Unknown,Rural,Serious,33
2019,30,Unknown,Unknown,Urban,Serious,41
2020,30,Unknown,Unknown,Rural,Serious,20
2020,30,Unknown,Unknown,Urban,Serious,23
2021,30,Unknown,Unknown,Rural,Serious,18
2021,30,Unknown,Unknown,Urban,Serious,22
2022,30,Unknown,Unknown,Rural,Serious,27
2022,30,Unknown,Unknown,Urban,Serious,29
2023,30,Unknown,Unknown,Rural,Serious,19
2023,30,Unknown,Unknown,Urban,Serious,22
2017,40,Unknown,Unknown,Rural,Serious,1
2017,40,Unknown,Unknown,Urban,Serious,1
2018,40,Unknown,Unknown,Rural,Serious,1
2018,40,Unknown,Unknown,Urban,Serious,1
2019,40,Unknown,Unknown,Rural,Serious,1
2019,40,Unknown,Unknown,Urban,Serious,1
2020,40,Unknown,Unknown,Rural,Serious,2
2020,40,Unknown,Unknown,Urban,Serious,2
2023,40,Unknown,Unknown,Rural,Serious,1
2023,40,Unknown,Unknown,Urban,Serious,1
2017,50,Unknown,Unknown,Rural,Serious,2
2017,50,Unknown,Unknown,Urban,Serious,2
2020,50,Unknown,Unknown,Rural,Serious,1
2020,50,Unknown,Unknown,Urban,Serious,1
2022,70,Unknown,Unknown,Rural,Serious,1
2022,70,Unknown,Unknown,Urban,Serious,1
2015,20,Wet/Damp,Fine with high winds,Rural,Serious,1
2015,20,Wet/Damp,Fine with high winds,Urban,Serious,1
2016,20,Wet/Damp,Fine with high winds,Rural,Serious,1
2016,20,Wet/Damp,Fine with high winds,Urban,Serious,1
2019,20,Wet/Damp,Fine with high winds,Urban,Serious,1
2020,20,Wet/Damp,Fine with high winds,Rural,Serious,3
2020,20,Wet/Damp,Fine with high winds,Urban,Serious,4
2022,20,Wet/Damp,Fine with high winds,Rural,Serious,1
2022,20,Wet/Damp,Fine with high winds,Urban,Serious,1
2023,20,Wet/Damp,Fine with high winds,Rural,Serious,1
2023,20,Wet/Damp,Fine with high winds,Urban,Serious,1
2014,30,Wet/Damp,Fine with high winds,Rural,Serious,3
2014,30,Wet/Damp,Fine with high winds,Urban,Serious,4
2015,30,Wet/Damp,Fine with high winds,Rural,Serious,1
2015,30,Wet/Damp,Fine with high winds,Urban,Serious,1
2017,30,Wet/Damp,Fine with high winds,Rural,Serious,5
2017,30,Wet/Damp,Fine with high winds,Urban,Serious,5
2018,30,Wet/Damp,Fine with high winds,Rural,Serious,2
2018,30,Wet/Damp,Fine with high winds,Urban,Serious,2
2019,30,Wet/Damp,Fine with high winds,Rural,Serious,8
2019,30,Wet/Damp,Fine with high winds,Urban,Serious,8
2020,30,Wet/Damp,Fine with high winds,Rural,Serious,2
2020,30,Wet/Damp,Fine with high winds,Urban,Serious,4
2021,30,Wet/Damp,Fine with high winds,Rural,Serious,3
2021,30,Wet/Damp,Fine with high winds,Urban,Serious,4
2022,30,Wet/Damp,Fine with high winds,Urban,Serious,3
2023,30,Wet/Damp,Fine with high winds,Rural,Serious,8
2023,30,Wet/Damp,Fine with high winds,Urban,Serious,10
2019,40,Wet/Damp,Fine with high winds,Rural,Serious,1
2019,40,Wet/Damp,Fine with high winds,Urban,Serious,1
2020,40,Wet/Damp,Fine with high winds,Rural,Serious,1
2020,40,Wet/Damp,Fine with high winds,Urban,Serious,1
2019,-1,Wet/Damp,Fine without high winds,Rural,Serious,1
2019,-1,Wet/Damp,Fine without high winds,Urban,Serious,1
2014,20,Wet/Damp,Fine without high winds,Urban,Serious,1
2015,20,Wet/Damp,Fine without high winds,Urban,Serious,4
2016,20,Wet/Damp,Fine without high winds,Rural,Serious,11
2016,20,Wet/Damp,Fine without high winds,Urban,Serious,19
2017,20,Wet/Damp,Fine without high winds,Rural,Serious,30
2017,20,Wet/Damp,Fine without high winds,Urban,Serious,43
2018,20,Wet/Damp,Fine without high winds,Rural,Serious,31
2018,20,Wet/Damp,Fine without high winds,Urban,Serious,44
2019,20,Wet/Damp,Fine without high winds,Rural,Serious,49
2019,20,Wet/Damp,Fine without high winds,Urban,Serious,61
2020,20,Wet/Damp,Fine without high winds,Rural,Serious,62
2020,20,Wet/Damp,Fine without high winds,Urban,Serious,74
2021,20,Wet/Damp,Fine without high winds,Rural,Serious,40
2021,20,Wet/Damp,Fine without high winds,Urban,Serious,54
2022,20,Wet/Damp,Fine without high winds,Rural,Serious,50
2022,20,Wet/Damp,Fine without high winds,Urban,Serious,63
2023,20,Wet/Damp,Fine without high winds,Rural,Serious,97
2023,20,Wet/Damp,Fine without high winds,Urban,Serious,121
2014,30,Wet/Damp,Fine without high winds,Rural,Serious,81
2014,30,Wet/Damp,Fine without high winds,Urban,Serious,100
2015,30,Wet/Damp,Fine without high winds,Rural,Serious,51
2015,30,Wet/Damp,Fine without high winds,Urban,Serious,71
2016,30,Wet/Damp,Fine without high winds,Rural,Serious,78
2016,30,Wet/Damp,Fine without high winds,Urban,Serious,100
2017,30,Wet/Damp,Fine without high winds,Rural,Serious,170
2017,30,Wet/Damp,Fine without high winds,Urban,Serious,207
2018,30,Wet/Damp,Fine without high winds,Rural,Serious,123
2018,30,Wet/Damp,Fine without high winds,Urban,Serious,153
2019,30,Wet/Damp,Fine without high winds,Rural,Serious,152
2019,30,Wet/Damp,Fine without high winds,Urban,Serious,176
2020,30,Wet/Damp,Fine without high winds,Rural,Serious,96
2020,30,Wet/Damp,Fine without high winds,Urban,Serious,106
2021,30,Wet/Damp,Fine without high winds,Rural,Serious,96
2021,30,Wet/Damp,Fine without high winds,Urban,Serious,100
2022,30,Wet/Damp,Fine without high winds,Rural,Serious,100
2022,30,Wet/Damp,Fine without high winds,Urban,Serious,108
2023,30,Wet/Damp,Fine without high winds,Rural,Serious,91
2023,30,Wet/Damp,Fine without high winds,Urban,Serious,102
2014,40,Wet/Damp,Fine without high winds,Rural,Serious,6
2014,40,Wet/Damp,Fine without high winds,Urban,Serious,6
2015,40,Wet/Damp,Fine without high winds,Rural,Serious,2
2015,40,Wet/Damp,Fine without high winds,Urban,Serious,2
2016,40,Wet/Damp,Fine without high winds,Rural,Serious,4
2016,40,Wet/Damp,Fine without high winds,Urban,Serious,4
2017,40,Wet/Damp,Fine without high winds,Rural,Serious,19
2017,40,Wet/Damp,Fine without high winds,Urban,Serious,25
2018,40,Wet/Damp,Fine without high winds,Rural,Serious,17
2018,40,Wet/Damp,Fine without high winds,Urban,Serious,21
2019,40,Wet/Damp,Fine without high winds,Rural,Serious,11
2019,40,Wet/Damp,Fine without high winds,Urban,Serious,14
2020,40,Wet/Damp,Fine without high winds,Rural,Serious,18
